CartId,LocationCode,CartNo,DeviceNo,CartType,ActivityType,UserId,CreateCartDate,StartPickDate,CloseCartDate,PackLineQueueDate,CompleteCartDate,StatusId,ProcessLaneId,SourceType,Id,CartId,No,LineNo,ActivityType,Item,ItemDescription,Bin,Qty,ZoneCode,PickDate,Shipped,CustomerNo,CustomerName,SourceNo,SourceLineNo,SourceType,SourceSubtype,UOM,ShippingAgentCode,ShippingAgentService,PacklineScanStart,PacklineScanEnd,PacklineScanUserId
47904,IL01,P53,35271002,FedEx,2,Crichards,2017-12-01 07:28:29.400,2017-12-01 07:38:06.000,2017-12-01 07:46:04.000,2017-12-01 07:46:34.000,2017-12-01 08:29:00.380,1,5,NULL,347948,47904,W-PI8462241,10000,2,200222,"Reman, Lex T640/642/644 Tnr HY",AD13302,3.00000000000000000000,04,2017-12-01 07:45:40.767,1,CUST-139308,,SO3123521,10000,37,1,EA,FEDEX,GROUND SERVICE,2017-12-01 08:28:00.000,2017-12-01 08:29:00.110,KCOBLER
47905,IL01,P54,P54,FedEx,2,Agage,2017-12-01 07:30:06.323,2017-12-01 07:30:18.000,2017-12-01 07:31:27.000,2017-12-01 07:31:39.000,2017-12-01 08:25:35.957,1,5,NULL,347945,47905,W-PI8462228,10000,2,52D0Z00,Lexmark MS711 Drum Unit,AF14103,1.00000000000000000000,FLOOR,2017-12-01 07:31:24.797,1,CUST-139308,,SO3123523,10000,37,1,EA,FEDEX,GROUND SERVICE,2017-12-01 08:25:00.000,2017-12-01 08:25:35.803,KCOBLER
47906,IL01,P111,P111,FedEx,2,Agage,2017-12-01 07:32:46.157,2017-12-01 07:32:52.000,2017-12-01 07:33:41.000,2017-12-01 07:33:49.000,2017-12-01 07:57:02.087,1,5,NULL,347946,47906,W-PI8462234,10000,2,200643,"Reman, Lex MS/MX710 Tnr HY",AC06101,1.00000000000000000000,FLOOR,2017-12-01 07:33:35.193,1,CUST-139308,,SO3123522,10000,37,1,EA,FEDEX,GROUND SERVICE,2017-12-01 07:56:00.000,2017-12-01 07:57:01.953,KCOBLER
47907,IL01,P142,P142,FedEx,2,Agage,2017-12-01 07:34:46.630,2017-12-01 07:39:18.000,2017-12-01 07:40:26.000,2017-12-01 07:40:37.000,2017-12-01 08:24:54.187,1,5,NULL,347947,47907,W-PI8462244,10000,2,200814P,"CIG, Brother TN630 Tnr",AC08101,3.00000000000000000000,FLOOR,2017-12-01 07:40:23.810,1,CUST-139308,,SO3122810,10000,37,1,EA,FEDEX,GROUND SERVICE,2017-12-01 08:24:00.000,2017-12-01 08:24:54.047,KCOBLER
47909,IL01,P81,35271002,UPS,2,Crichards,2017-12-01 07:46:44.240,2017-12-01 07:49:23.000,2017-12-01 08:12:30.000,2017-12-01 08:12:40.000,2017-12-01 08:47:01.937,1,3,NULL,347950,47909,W-PI8462259,70000,2,200493P,"CIG, Bro TN110 Tnr Bk",AB18302,1.00000000000000000000,FLOOR,2017-12-01 07:54:10.597,1,CUST-22682,,SOE5975140,3000,37,1,EA,UPS,3 DAY SELECT,2017-12-01 08:46:00.000,2017-12-01 08:47:01.800,KCOBLER
47909,IL01,P81,35271002,UPS,2,Crichards,2017-12-01 07:46:44.240,2017-12-01 07:49:23.000,2017-12-01 08:12:30.000,2017-12-01 08:12:40.000,2017-12-01 08:47:01.937,1,3,NULL,347951,47909,W-PI8462259,10000,2,200494P,"CIG, Bro TN110 Tnr Cy",AF10303,1.00000000000000000000,06,2017-12-01 07:55:24.837,1,CUST-22682,,SOE5975140,4000,37,1,EA,UPS,3 DAY SELECT,2017-12-01 08:46:00.000,2017-12-01 08:47:01.800,KCOBLER
47909,IL01,P81,35271002,UPS,2,Crichards,2017-12-01 07:46:44.240,2017-12-01 07:49:23.000,2017-12-01 08:12:30.000,2017-12-01 08:12:40.000,2017-12-01 08:47:01.937,1,3,NULL,347953,47909,W-PI8462259,30000,2,200495P,"CIG, Bro TN110 Tnr Mg",AI11302,1.00000000000000000000,09,2017-12-01 08:08:42.727,1,CUST-22682,,SOE5975140,2000,37,1,EA,UPS,3 DAY SELECT,2017-12-01 08:46:00.000,2017-12-01 08:47:01.800,KCOBLER
47909,IL01,P81,35271002,UPS,2,Crichards,2017-12-01 07:46:44.240,2017-12-01 07:49:23.000,2017-12-01 08:12:30.000,2017-12-01 08:12:40.000,2017-12-01 08:47:01.937,1,3,NULL,347955,47909,W-PI8462259,50000,2,200496P,"CIG, Bro TN110 Tnr Yl",AS08203,1.00000000000000000000,19,2017-12-01 08:09:47.080,1,CUST-22682,,SOE5975140,1000,37,1,EA,UPS,3 DAY SELECT,2017-12-01 08:46:00.000,2017-12-01 08:47:01.800,KCOBLER
47909,IL01,P81,35271002,UPS,2,Crichards,2017-12-01 07:46:44.240,2017-12-01 07:49:23.000,2017-12-01 08:12:30.000,2017-12-01 08:12:40.000,2017-12-01 08:47:01.937,1,3,NULL,347957,47909,W-PI8462285,10000,2,KMB200551P,"KMBS, HP 80A Tnr",AC07202,1.00000000000000000000,03,2017-12-01 08:10:55.807,1,CUST-04728,,SO3124327,10000,37,1,EA,UPS,GROUND,2017-12-01 08:45:00.000,2017-12-01 08:45:52.107,KCOBLER
47909,IL01,P81,35271002,UPS,2,Crichards,2017-12-01 07:46:44.240,2017-12-01 07:49:23.000,2017-12-01 08:12:30.000,2017-12-01 08:12:40.000,2017-12-01 08:47:01.937,1,3,NULL,347959,47909,W-PI8462340,10000,2,KMB200551P,"KMBS, HP 80A Tnr",AC07202,1.00000000000000000000,03,2017-12-01 08:11:20.163,1,CUST-04728,,SO3124337,10000,37,1,EA,UPS,GROUND,2017-12-01 08:44:00.000,2017-12-01 08:44:50.250,KCOBLER
47909,IL01,P81,35271002,UPS,2,Crichards,2017-12-01 07:46:44.240,2017-12-01 07:49:23.000,2017-12-01 08:12:30.000,2017-12-01 08:12:40.000,2017-12-01 08:47:01.937,1,3,NULL,347961,47909,W-PI8462341,10000,2,200181PNB2,"CIG, HP 78A Tnr",AD12202,1.00000000000000000000,04,2017-12-01 08:12:28.013,1,CUST-04728,,SO3124338,10000,37,1,EA,UPS,GROUND,2017-12-01 08:46:00.000,2017-12-01 08:46:22.250,KCOBLER
47910,IL01,P32,P32,UPS,2,Agage,2017-12-01 07:49:26.247,2017-12-01 07:51:50.000,2017-12-01 07:52:56.000,2017-12-01 07:53:07.000,2017-12-01 08:44:31.413,1,2,NULL,347949,47910,W-PI8462266,10000,2,200552P,"CIG, HP 80X Tnr HY",AC13101,1.00000000000000000000,FLOOR,2017-12-01 07:52:54.517,1,CUST-136882,,SOE5962681,22000,37,1,EA,UPS,GROUND,2017-12-01 08:44:00.000,2017-12-01 08:44:31.240,KCOBLER
47911,IL01,P39,P39,UPSPriority,2,Agage,2017-12-01 07:54:30.090,2017-12-01 08:04:38.000,2017-12-01 08:06:05.000,2017-12-01 08:06:17.000,2017-12-01 13:19:09.330,1,6,NULL,347952,47911,W-PI8462286,10000,2,200180P,"CIG, HP 55X Tnr HY",AD11102,1.00000000000000000000,FLOOR,2017-12-01 08:05:59.740,1,CUST-04728,,SO3124319,10000,37,1,EA,UPS,NEXT DAY AIR,2017-12-01 13:18:00.000,2017-12-01 13:19:09.083,JSHERRIFF
47912,IL01,P09,P09,UPS,2,Agage,2017-12-01 08:07:43.953,2017-12-01 08:07:50.000,2017-12-01 08:33:31.000,2017-12-01 08:33:42.000,2017-12-01 09:04:22.547,1,1,NULL,347956,47912,W-PI8462342,10000,2,200559P,"CIG, HP M451/M475 Tnr Bk HY",AC07101,1.00000000000000000000,FLOOR,2017-12-01 08:10:07.390,1,CUST-04728,,SO3124339,10000,37,1,EA,UPS,GROUND,2017-12-01 09:02:00.000,2017-12-01 09:02:33.640,KCOBLER
47912,IL01,P09,P09,UPS,2,Agage,2017-12-01 08:07:43.953,2017-12-01 08:07:50.000,2017-12-01 08:33:31.000,2017-12-01 08:33:42.000,2017-12-01 09:04:22.547,1,1,NULL,347954,47912,W-PI8462282,10000,2,KMB200173P,"KMBS, HP 05A Tnr",AC18101,1.00000000000000000000,FLOOR,2017-12-01 08:09:01.580,1,CUST-04728,,SO3124328,10000,37,1,EA,UPS,GROUND,2017-12-01 08:55:00.000,2017-12-01 08:55:37.960,KCOBLER
47912,IL01,P09,P09,UPS,2,Agage,2017-12-01 08:07:43.953,2017-12-01 08:07:50.000,2017-12-01 08:33:31.000,2017-12-01 08:33:42.000,2017-12-01 09:04:22.547,1,1,NULL,347960,47912,W-PI8462342,50000,2,200180P,"CIG, HP 55X Tnr HY",AD11102,2.00000000000000000000,FLOOR,2017-12-01 08:12:22.607,1,CUST-04728,,SO3124339,30000,37,1,EA,UPS,GROUND,2017-12-01 09:02:00.000,2017-12-01 09:02:33.640,KCOBLER
47912,IL01,P09,P09,UPS,2,Agage,2017-12-01 08:07:43.953,2017-12-01 08:07:50.000,2017-12-01 08:33:31.000,2017-12-01 08:33:42.000,2017-12-01 09:04:22.547,1,1,NULL,347958,47912,W-PI8462342,30000,2,200562P,"CIG, HP M451/M475 Tnr Yl",AC17102,1.00000000000000000000,FLOOR,2017-12-01 08:11:03.733,1,CUST-04728,,SO3124339,20000,37,1,EA,UPS,GROUND,2017-12-01 09:02:00.000,2017-12-01 09:02:33.640,KCOBLER
47912,IL01,P09,P09,UPS,2,Agage,2017-12-01 08:07:43.953,2017-12-01 08:07:50.000,2017-12-01 08:33:31.000,2017-12-01 08:33:42.000,2017-12-01 09:04:22.547,1,1,NULL,347971,47912,W-PI8462392,10000,2,KMB200173P,"KMBS, HP 05A Tnr",AC18101,1.00000000000000000000,FLOOR,2017-12-01 08:22:01.437,1,CUST-04728,,SO3124343,10000,37,1,EA,UPS,GROUND,2017-12-01 08:54:00.000,2017-12-01 08:54:48.510,KCOBLER
47912,IL01,P09,P09,UPS,2,Agage,2017-12-01 08:07:43.953,2017-12-01 08:07:50.000,2017-12-01 08:33:31.000,2017-12-01 08:33:42.000,2017-12-01 09:04:22.547,1,1,NULL,347972,47912,W-PI8462394,10000,2,KMB200173P,"KMBS, HP 05A Tnr",AC18101,1.00000000000000000000,FLOOR,2017-12-01 08:22:23.923,1,CUST-04728,,SO3124342,10000,37,1,EA,UPS,GROUND,2017-12-01 08:55:00.000,2017-12-01 08:55:59.023,KCOBLER
47912,IL01,P09,P09,UPS,2,Agage,2017-12-01 08:07:43.953,2017-12-01 08:07:50.000,2017-12-01 08:33:31.000,2017-12-01 08:33:42.000,2017-12-01 09:04:22.547,1,1,NULL,347973,47912,W-PI8462417,10000,2,KMB200173P,"KMBS, HP 05A Tnr",AC18101,1.00000000000000000000,FLOOR,2017-12-01 08:22:40.763,1,CUST-04728,,SO3124361,10000,37,1,EA,UPS,GROUND,2017-12-01 08:59:00.000,2017-12-01 08:59:36.027,KCOBLER
47912,IL01,P09,P09,UPS,2,Agage,2017-12-01 08:07:43.953,2017-12-01 08:07:50.000,2017-12-01 08:33:31.000,2017-12-01 08:33:42.000,2017-12-01 09:04:22.547,1,1,NULL,347974,47912,W-PI8462424,10000,2,KMB200173P,"KMBS, HP 05A Tnr",AC18101,1.00000000000000000000,FLOOR,2017-12-01 08:22:59.093,1,CUST-04728,,SO3124359,10000,37,1,EA,UPS,GROUND,2017-12-01 09:02:00.000,2017-12-01 09:03:04.230,KCOBLER
47912,IL01,P09,P09,UPS,2,Agage,2017-12-01 08:07:43.953,2017-12-01 08:07:50.000,2017-12-01 08:33:31.000,2017-12-01 08:33:42.000,2017-12-01 09:04:22.547,1,1,NULL,347975,47912,W-PI8462441,10000,2,KMB200173P,"KMBS, HP 05A Tnr",AC18101,1.00000000000000000000,FLOOR,2017-12-01 08:23:18.673,1,CUST-04728,,SO3124362,10000,37,1,EA,UPS,GROUND,2017-12-01 09:01:00.000,2017-12-01 09:01:57.127,KCOBLER
47912,IL01,P09,P09,UPS,2,Agage,2017-12-01 08:07:43.953,2017-12-01 08:07:50.000,2017-12-01 08:33:31.000,2017-12-01 08:33:42.000,2017-12-01 09:04:22.547,1,1,NULL,347976,47912,W-PI8462442,10000,2,KMB200173P,"KMBS, HP 05A Tnr",AC18101,1.00000000000000000000,FLOOR,2017-12-01 08:23:38.777,1,CUST-04728,,SO3124358,10000,37,1,EA,UPS,GROUND,2017-12-01 08:59:00.000,2017-12-01 09:00:01.810,KCOBLER
47912,IL01,P09,P09,UPS,2,Agage,2017-12-01 08:07:43.953,2017-12-01 08:07:50.000,2017-12-01 08:33:31.000,2017-12-01 08:33:42.000,2017-12-01 09:04:22.547,1,1,NULL,347977,47912,W-PI8462449,50000,2,118068,"CIG, BRO LC103XL Ink Mg",AB04203,1.00000000000000000000,FLOOR,2017-12-01 08:25:20.260,1,CUST-07453,,SOE5975240,3000,37,1,EA,UPS,GROUND,2017-12-01 09:03:00.000,2017-12-01 09:03:56.083,KCOBLER
47912,IL01,P09,P09,UPS,2,Agage,2017-12-01 08:07:43.953,2017-12-01 08:07:50.000,2017-12-01 08:33:31.000,2017-12-01 08:33:42.000,2017-12-01 09:04:22.547,1,1,NULL,347966,47912,W-PI8462287,30000,2,118019,"CIG, Canon PG-240XXL Ink Bk",FR04303,1.00000000000000000000,FLOOR,2017-12-01 08:18:31.307,1,CUST-06880,,SO3124333,20000,37,1,EA,UPS,GROUND,2017-12-01 09:03:00.000,2017-12-01 09:03:26.167,KCOBLER
47912,IL01,P09,P09,UPS,2,Agage,2017-12-01 08:07:43.953,2017-12-01 08:07:50.000,2017-12-01 08:33:31.000,2017-12-01 08:33:42.000,2017-12-01 09:04:22.547,1,1,NULL,347967,47912,W-PI8462287,10000,2,117833,"CIG, Canon CL-241XL Ink Clr",FR01504,1.00000000000000000000,FLOOR,2017-12-01 08:18:47.717,1,CUST-06880,,SO3124333,10000,37,1,EA,UPS,GROUND,2017-12-01 09:03:00.000,2017-12-01 09:03:26.167,KCOBLER
47912,IL01,P09,P09,UPS,2,Agage,2017-12-01 08:07:43.953,2017-12-01 08:07:50.000,2017-12-01 08:33:31.000,2017-12-01 08:33:42.000,2017-12-01 09:04:22.547,1,1,NULL,347969,47912,W-PI8462393,10000,2,200002PNB2,"CIG, HP 38A Tnr",AF04101,1.00000000000000000000,FLOOR,2017-12-01 08:20:32.227,1,CUST-04728,,SO3124347,10000,37,1,EA,UPS,GROUND,2017-12-01 09:04:00.000,2017-12-01 09:04:21.783,KCOBLER
47912,IL01,P09,P09,UPS,2,Agage,2017-12-01 08:07:43.953,2017-12-01 08:07:50.000,2017-12-01 08:33:31.000,2017-12-01 08:33:42.000,2017-12-01 09:04:22.547,1,1,NULL,347981,47912,W-PI8462449,30000,2,118067,"CIG, BRO LC103XL Ink Cy",AL10102,2.00000000000000000000,FLOOR,2017-12-01 08:27:09.693,1,CUST-07453,,SOE5975240,2000,37,1,EA,UPS,GROUND,2017-12-01 09:03:00.000,2017-12-01 09:03:56.083,KCOBLER
47912,IL01,P09,P09,UPS,2,Agage,2017-12-01 08:07:43.953,2017-12-01 08:07:50.000,2017-12-01 08:33:31.000,2017-12-01 08:33:42.000,2017-12-01 09:04:22.547,1,1,NULL,347982,47912,W-PI8462449,70000,2,118069,"CIG, BRO LC103XL Ink Yl",AL29103,1.00000000000000000000,FLOOR,2017-12-01 08:27:40.427,1,CUST-07453,,SOE5975240,4000,37,1,EA,UPS,GROUND,2017-12-01 09:03:00.000,2017-12-01 09:03:56.083,KCOBLER
