UserId,Bin,Qty,ZoneCode,PickDate
twilkinson,AE04103,1,FLOOR,12/1/17 9:50:58
twilkinson,AE05103,1,FLOOR,12/1/17 9:51:18
Mcuevas,AC02103,1,FLOOR,12/1/17 9:48:40
Agage,AC08101,1,FLOOR,12/1/17 9:48:51
Agage,AO02103,1,FLOOR,12/1/17 9:50:21
rbarr,AD08403,1,4,12/1/17 9:51:10
Mcuevas,AB05202,1,FLOOR,12/1/17 9:52:44
Mcuevas,AB23202,3,FLOOR,12/1/17 9:53:48
Agage,AB13103,1,FLOOR,12/1/17 9:53:47
Agage,AB20203,1,FLOOR,12/1/17 9:54:53
Agage,FR03303,1,FLOOR,12/1/17 9:56:25
Agage,FR03303,1,FLOOR,12/1/17 9:56:39
Agage,AB20203,1,FLOOR,12/1/17 9:58:05
Agage,AB20203,1,FLOOR,12/1/17 9:58:19
Agage,AB05201,2,FLOOR,12/1/17 10:23:20
Agage,AB11201,2,FLOOR,12/1/17 10:24:00
Agage,FR03303,1,FLOOR,12/1/17 9:59:27
Agage,FR03303,1,FLOOR,12/1/17 9:59:58
Agage,AB13103,1,FLOOR,12/1/17 10:01:07
Agage,AB20203,1,FLOOR,12/1/17 10:02:16
Agage,AB20203,1,FLOOR,12/1/17 10:02:39
Agage,AB13103,1,FLOOR,12/1/17 10:03:33
Agage,AB13103,1,FLOOR,12/1/17 10:03:59
Agage,AB20203,1,FLOOR,12/1/17 10:04:57
Agage,FR03303,1,FLOOR,12/1/17 10:06:06
Agage,FR03303,1,FLOOR,12/1/17 10:06:29
Agage,AB13103,1,FLOOR,12/1/17 10:07:50
Agage,AB20203,1,FLOOR,12/1/17 10:09:38
Agage,AB20203,1,FLOOR,12/1/17 10:10:01
Agage,AB20203,1,FLOOR,12/1/17 10:10:20
Agage,AB20203,1,FLOOR,12/1/17 10:10:43
Agage,AB13103,1,FLOOR,12/1/17 10:11:31
Agage,FR03303,1,FLOOR,12/1/17 10:12:25
Agage,FR05102,3,FLOOR,12/1/17 10:13:07
Agage,FR05102,1,FLOOR,12/1/17 10:13:25
Agage,FR01301,1,FLOOR,12/1/17 10:13:53
Agage,AL29203,1,FLOOR,12/1/17 10:15:18
Agage,AS11101,1,FLOOR,12/1/17 10:16:25
Agage,AL32202,4,FLOOR,12/1/17 10:20:58
rbarr,FR03303,1,FLOOR,12/1/17 9:58:26
rbarr,AB13103,1,FLOOR,12/1/17 9:57:04
rbarr,AB20203,1,FLOOR,12/1/17 9:57:44
rbarr,AD01101,1,FLOOR,12/1/17 9:53:02
Mcuevas,AV07303,1,22,12/1/17 10:23:30
Mcuevas,AW16101,1,FLOOR,12/1/17 10:21:35
Mcuevas,ARSTAG,1,VI,12/1/17 10:21:45
Mcuevas,AU04201,1,FLOOR,12/1/17 10:22:42
NOtt,AM15101,1,FLOOR,12/1/17 10:23:28
rbarr,AR07202,1,18,12/1/17 10:22:50
twilkinson,AC13101,1,FLOOR,12/1/17 10:23:31
twilkinson,AD12102,3,FLOOR,12/1/17 10:22:44
Crichards,AD11102,1,FLOOR,12/1/17 10:23:27
rbarr,AL06203,4,FLOOR,12/1/17 10:24:21
rbarr,AL17203,3,FLOOR,12/1/17 10:25:08
rbarr,AR03102,3,FLOOR,12/1/17 10:26:23
rbarr,FR05304,2,FLOOR,12/1/17 10:32:39
rbarr,FR05304,3,FLOOR,12/1/17 10:32:59
rbarr,FR04101,1,FLOOR,12/1/17 10:33:22
rbarr,FR03404,2,FLOOR,12/1/17 10:33:37
rbarr,FR01504,1,FLOOR,12/1/17 10:33:53
rbarr,FR04303,1,FLOOR,12/1/17 10:34:07
rbarr,AK18103,1,FLOOR,12/1/17 10:35:59
rbarr,AL05102,1,FLOOR,12/1/17 10:36:49
rbarr,AJ11101,1,FLOOR,12/1/17 10:37:49
rbarr,AB22102,1,FLOOR,12/1/17 10:40:35
rbarr,AV31203,2,FLOOR,12/1/17 10:41:53
rbarr,AV08502,3,22,12/1/17 10:45:53
rbarr,AB04402,2,2,12/1/17 10:47:32
rbarr,AW07402,1,23,12/1/17 10:49:02
rbarr,AD18101,1,FLOOR,12/1/17 10:51:02
rbarr,AJ04101,1,FLOOR,12/1/17 10:52:04
rbarr,AF04203,3,6,12/1/17 10:53:24
Agage,FR01201,1,FLOOR,12/1/17 10:52:17
Agage,AG01202,1,FLOOR,12/1/17 10:54:16
Agage,AG04201,1,FLOOR,12/1/17 10:54:53
Agage,AG15101,1,FLOOR,12/1/17 10:56:12
Agage,AB13202,1,FLOOR,12/1/17 10:27:53
Agage,AB16103,1,FLOOR,12/1/17 10:28:12
Agage,AA18102,1,FLOOR,12/1/17 10:28:36
Agage,AG01203,4,FLOOR,12/1/17 10:57:37
Agage,AG13203,1,FLOOR,12/1/17 10:58:58
Agage,AG14203,1,FLOOR,12/1/17 10:59:24
Agage,AG35202,1,FLOOR,12/1/17 11:00:43
Agage,AC11101,1,FLOOR,12/1/17 11:02:11
Agage,AC11101,2,FLOOR,12/1/17 11:02:57
Agage,AB29202,3,FLOOR,12/1/17 11:04:23
Agage,AJ04101,1,FLOOR,12/1/17 11:05:22
Agage,FR06301,2,FLOOR,12/1/17 11:07:01
Agage,FR06503,2,FLOOR,12/1/17 11:07:27
Agage,AB01203,3,FLOOR,12/1/17 10:26:54
twilkinson,AC11101,2,FLOOR,12/1/17 10:27:14
twilkinson,AC15401,1,3,12/1/17 10:26:44
twilkinson,AC06101,2,FLOOR,12/1/17 10:26:09
twilkinson,AA16201,1,FLOOR,12/1/17 10:28:51
twilkinson,AC16102,1,FLOOR,12/1/17 10:28:14
twilkinson,AB02402,1,2,12/1/17 10:29:35
twilkinson,AA04502,1,1,12/1/17 10:33:29
twilkinson,AQ06101,1,FLOOR,12/1/17 10:32:20
twilkinson,AN16302,1,14,12/1/17 10:31:16
twilkinson,AJ14203,1,10,12/1/17 10:30:36
twilkinson,AA13401,1,1,12/1/17 10:34:52
twilkinson,AB04402,2,2,12/1/17 10:35:34
HARREDONDO,AE05101,2,FLOOR,12/1/17 10:35:36
HARREDONDO,AE05101,1,FLOOR,12/1/17 10:35:57
HARREDONDO,AE04103,3,FLOOR,12/1/17 10:37:04
HARREDONDO,AE04103,1,FLOOR,12/1/17 10:36:34
HARREDONDO,AD01102,2,FLOOR,12/1/17 10:39:42
HARREDONDO,AE05103,3,FLOOR,12/1/17 10:37:53
HARREDONDO,AD11101,3,FLOOR,12/1/17 10:38:39
HARREDONDO,AD11101,1,FLOOR,12/1/17 10:38:50
HARREDONDO,AA06501,2,1,12/1/17 10:30:42
HARREDONDO,AE14101,1,FLOOR,12/1/17 10:32:17
HARREDONDO,AA08102,1,FLOOR,12/1/17 10:31:17
HARREDONDO,AA03402,1,1,12/1/17 10:29:45
HARREDONDO,AA03402,1,1,12/1/17 10:29:57
HARREDONDO,AA08502,1,1,12/1/17 10:28:49
HARREDONDO,AA03402,2,1,12/1/17 10:29:34
HARREDONDO,AA08502,4,1,12/1/17 10:28:29
HARREDONDO,AA08502,1,1,12/1/17 10:27:46
HARREDONDO,AT07203,1,20,12/1/17 10:26:27
Wdecker,AN07102,3,FLOOR,12/1/17 10:29:26
Wdecker,AS05202,2,19,12/1/17 10:31:11
Wdecker,AM01301,5,13,12/1/17 10:39:31
Wdecker,AL33103,3,FLOOR,12/1/17 10:41:13
Wdecker,AN03202,5,14,12/1/17 10:35:11
Wdecker,AM15102,5,FLOOR,12/1/17 10:36:27
Wdecker,AO08103,8,FLOOR,12/1/17 10:32:31
Wdecker,AN05202,1,14,12/1/17 10:34:42
Wdecker,AA02202,1,FLOOR,12/1/17 10:56:51
Wdecker,AI18102,5,FLOOR,12/1/17 10:54:11
Wdecker,AI06202,1,9,12/1/17 10:55:33
Wdecker,AJ14203,1,10,12/1/17 10:52:51
Wdecker,AK11402,9,11,12/1/17 10:51:46
Wdecker,AK15203,1,11,12/1/17 10:49:07
Wdecker,AL12503,8,12,12/1/17 10:48:08
Wdecker,AL16203,1,FLOOR,12/1/17 10:42:43
Crichards,AJ11103,6,FLOOR,12/1/17 10:42:40
Crichards,AP14301,1,16,12/1/17 10:46:15
Crichards,AP05101,1,FLOOR,12/1/17 10:43:19
Crichards,AC02102,2,FLOOR,12/1/17 10:47:53
Crichards,AK17202,1,11,12/1/17 10:50:16
Crichards,AM15203,1,13,12/1/17 10:51:00
Crichards,AF14103,4,FLOOR,12/1/17 10:52:29
Crichards,AF14103,1,FLOOR,12/1/17 10:53:28
Crichards,AF06103,2,FLOOR,12/1/17 10:55:34
Crichards,AF06103,1,FLOOR,12/1/17 10:54:54
Crichards,AF06103,2,FLOOR,12/1/17 10:55:57
Crichards,AC06101,1,FLOOR,12/1/17 10:56:57
Crichards,AC08101,1,FLOOR,12/1/17 10:57:30
Crichards,AD05301,2,4,12/1/17 10:35:59
Crichards,AB13101,4,FLOOR,12/1/17 10:40:41
Crichards,AB18102,1,FLOOR,12/1/17 10:41:09
Crichards,AB05503,1,2,12/1/17 10:39:21
Crichards,AD18303,1,4,12/1/17 10:31:42
Crichards,AA06501,2,1,12/1/17 10:33:41
Crichards,AD08101,2,FLOOR,12/1/17 10:29:47
Crichards,AD06101,2,FLOOR,12/1/17 10:29:11
Crichards,AD17101,1,FLOOR,12/1/17 10:59:02
Crichards,AD13302,2,4,12/1/17 10:58:19
Crichards,AD10201,1,4,12/1/17 10:26:34
Crichards,AD14201,1,4,12/1/17 10:26:58
Crichards,AD18303,3,4,12/1/17 10:27:43
NOtt,AM08303,1,13,12/1/17 10:28:48
Mcuevas,AB16501,1,2,12/1/17 10:30:00
Mcuevas,AB15402,1,2,12/1/17 10:29:27
Mcuevas,AD17102,1,FLOOR,12/1/17 10:32:29
Mcuevas,AD18102,1,FLOOR,12/1/17 10:32:54
Mcuevas,AD15102,1,FLOOR,12/1/17 10:31:44
Mcuevas,AD16102,1,FLOOR,12/1/17 10:32:07
Mcuevas,AC11101,2,FLOOR,12/1/17 10:31:01
Mcuevas,AV13301,1,22,12/1/17 10:38:59
Mcuevas,AV02503,1,22,12/1/17 10:39:58
Mcuevas,AF05101,1,FLOOR,12/1/17 10:34:35
Mcuevas,AF06101,1,FLOOR,12/1/17 10:35:01
Mcuevas,AG15401,2,7,12/1/17 10:37:17
Mcuevas,AR16403,1,18,12/1/17 10:44:14
Mcuevas,AF18301,1,6,12/1/17 10:41:46
Mcuevas,AF16301,2,6,12/1/17 10:42:46
NOtt,AW06203,2,23,12/1/17 10:41:34
NOtt,AV15303,2,22,12/1/17 10:36:28
NOtt,AV30203,2,FLOOR,12/1/17 10:39:36
NOtt,AV29101,11,FLOOR,12/1/17 10:38:52
NOtt,ARSTAG,4,VI,12/1/17 10:33:46
twilkinson,AM15302,2,13,12/1/17 10:37:53
twilkinson,AM02103,1,FLOOR,12/1/17 10:40:04
